GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0048856	anatomical structure development	1554	359	270.85	2.3e-11
GO:0032502	developmental process	1639	374	285.66	4.1e-11
GO:0007275	multicellular organism development	1385	323	241.39	1.2e-10
GO:0006996	organelle organization	1244	284	216.82	3.0e-08
GO:0016043	cellular component organization	1805	388	314.59	7.0e-08
GO:0051128	regulation of cellular component organiz...	542	141	94.47	9.9e-08
GO:0040012	regulation of locomotion	290	86	50.54	1.1e-07
GO:0071840	cellular component organization or bioge...	1942	411	338.47	1.6e-07
GO:0006974	cellular response to DNA damage stimulus	300	87	52.29	2.7e-07
GO:0000003	reproduction	747	180	130.19	5.2e-07
GO:0007049	cell cycle	488	126	85.05	8.0e-07
GO:0006281	DNA repair	242	72	42.18	1.1e-06
GO:0006298	mismatch repair	12	10	2.09	1.2e-06
GO:0002164	larval development	275	79	47.93	1.5e-06
GO:0000278	mitotic cell cycle	258	75	44.97	1.7e-06
GO:0022414	reproductive process	706	169	123.05	1.9e-06
GO:0048731	system development	981	223	170.98	2.2e-06
GO:0051276	chromosome organization	421	110	73.38	2.3e-06
GO:0009790	embryo development	527	132	91.85	2.6e-06
GO:0040011	locomotion	625	152	108.93	2.6e-06
GO:0032501	multicellular organismal process	1921	399	334.81	2.9e-06
GO:0050896	response to stimulus	2215	452	386.05	3.3e-06
GO:0006271	DNA strand elongation involved in DNA re...	7	7	1.22	4.8e-06
GO:0022402	cell cycle process	324	88	56.47	4.9e-06
GO:0022616	DNA strand elongation	18	12	3.14	4.9e-06
GO:1903047	mitotic cell cycle process	195	59	33.99	5.7e-06
GO:0002119	nematode larval development	258	73	44.97	6.8e-06
GO:0000902	cell morphogenesis	259	73	45.14	7.9e-06
GO:0009791	post-embryonic development	366	96	63.79	9.0e-06
GO:0051716	cellular response to stimulus	1777	369	309.71	9.5e-06
GO:0007399	nervous system development	491	122	85.58	9.7e-06
GO:0007010	cytoskeleton organization	419	107	73.03	1.0e-05
GO:0048522	positive regulation of cellular process	991	221	172.72	1.1e-05
GO:0009653	anatomical structure morphogenesis	828	189	144.31	1.2e-05
GO:0048518	positive regulation of biological proces...	1215	263	211.76	1.4e-05
GO:0033554	cellular response to stress	570	137	99.35	1.7e-05
GO:0022411	cellular component disassembly	133	43	23.18	1.8e-05
GO:0065007	biological regulation	3174	616	553.2	1.8e-05
GO:0046466	membrane lipid catabolic process	17	11	2.96	1.9e-05
GO:0009056	catabolic process	1000	221	174.29	2.1e-05
GO:0033043	regulation of organelle organization	298	80	51.94	2.1e-05
GO:0009218	pyrimidine ribonucleotide metabolic proc...	32	16	5.58	2.4e-05
GO:0044087	regulation of cellular component biogene...	232	65	40.44	3.1e-05
GO:0022008	neurogenesis	372	95	64.84	3.2e-05
GO:0030029	actin filament-based process	238	66	41.48	3.8e-05
GO:0051129	negative regulation of cellular componen...	154	47	26.84	4.0e-05
GO:0050789	regulation of biological process	2887	563	503.18	4.1e-05
GO:0045005	DNA-dependent DNA replication maintenanc...	13	9	2.27	5.3e-05
GO:0048699	generation of neurons	353	90	61.52	5.6e-05
GO:0048609	multicellular organismal reproductive pr...	416	103	72.5	5.9e-05
GO:1901575	organic substance catabolic process	839	187	146.23	6.3e-05
GO:0030036	actin cytoskeleton organization	219	61	38.17	6.5e-05
GO:1901657	glycosyl compound metabolic process	82	29	14.29	6.8e-05
GO:0030182	neuron differentiation	314	81	54.73	8.6e-05
GO:0051493	regulation of cytoskeleton organization	146	44	25.45	9.6e-05
GO:0048869	cellular developmental process	882	194	153.72	0.00010
GO:0097485	neuron projection guidance	97	32	16.91	0.00014
GO:0030154	cell differentiation	876	192	152.68	0.00014
GO:0000018	regulation of DNA recombination	26	13	4.53	0.00014
GO:0051301	cell division	243	65	42.35	0.00014
GO:0022611	dormancy process	23	12	4.01	0.00015
GO:0048841	regulation of axon extension involved in...	5	5	0.87	0.00016
GO:0048846	axon extension involved in axon guidance	5	5	0.87	0.00016
GO:0009605	response to external stimulus	621	142	108.23	0.00016
GO:1902284	neuron projection extension involved in ...	7	6	1.22	0.00017
GO:0061919	process utilizing autophagic mechanism	177	50	30.85	0.00020
GO:0032504	multicellular organism reproduction	429	103	74.77	0.00021
GO:0007411	axon guidance	91	30	15.86	0.00022
GO:0048468	cell development	590	135	102.83	0.00023
GO:0030149	sphingolipid catabolic process	15	9	2.61	0.00026
GO:0051704	multi-organism process	402	97	70.06	0.00027
GO:0046903	secretion	225	60	39.22	0.00028
GO:0006914	autophagy	175	49	30.5	0.00029
GO:0006950	response to stress	1009	215	175.86	0.00030
GO:0051270	regulation of cellular component movemen...	171	48	29.8	0.00032
GO:0051130	positive regulation of cellular componen...	250	65	43.57	0.00034
GO:0072527	pyrimidine-containing compound metabolic...	57	21	9.93	0.00035
GO:0036211	protein modification process	1501	306	261.61	0.00037
GO:0032989	cellular component morphogenesis	270	69	47.06	0.00039
GO:0006464	cellular protein modification process	1498	305	261.09	0.00042
GO:0006928	movement of cell or subcellular componen...	467	109	81.39	0.00044
GO:0009262	deoxyribonucleotide metabolic process	22	11	3.83	0.00046
GO:0048519	negative regulation of biological proces...	1006	213	175.34	0.00048
