GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006396	RNA processing	590	174	88.69	2.3e-21
GO:0034660	ncRNA metabolic process	408	127	61.33	1.2e-17
GO:0008152	metabolic process	4693	800	705.43	1.9e-15
GO:0010467	gene expression	1970	402	296.12	2.4e-15
GO:0034470	ncRNA processing	321	101	48.25	1.7e-14
GO:0022613	ribonucleoprotein complex biogenesis	322	97	48.4	1.1e-12
GO:0016070	RNA metabolic process	1523	313	228.93	1.2e-11
GO:0034641	cellular nitrogen compound metabolic pro...	2610	485	392.32	3.1e-11
GO:0043170	macromolecule metabolic process	3789	660	569.55	3.2e-11
GO:0006397	mRNA processing	244	76	36.68	6.5e-11
GO:0071704	organic substance metabolic process	4468	753	671.61	7.7e-11
GO:0016071	mRNA metabolic process	311	90	46.75	9.1e-11
GO:0044237	cellular metabolic process	4218	718	634.03	1.1e-10
GO:0090304	nucleic acid metabolic process	1876	366	281.99	1.4e-10
GO:0042254	ribosome biogenesis	251	75	37.73	7.6e-10
GO:0044238	primary metabolic process	4317	727	648.91	1.1e-09
GO:0016072	rRNA metabolic process	200	63	30.06	1.8e-09
GO:0046483	heterocycle metabolic process	2237	415	336.26	6.4e-09
GO:0044265	cellular macromolecule catabolic process	439	110	65.99	8.3e-09
GO:0006139	nucleobase-containing compound metabolic...	2175	403	326.94	1.6e-08
GO:0009451	RNA modification	157	51	23.6	2.2e-08
GO:0006807	nitrogen compound metabolic process	4072	686	612.08	2.3e-08
GO:0009057	macromolecule catabolic process	481	116	72.3	3.3e-08
GO:0044085	cellular component biogenesis	1039	215	156.18	4.4e-08
GO:0006725	cellular aromatic compound metabolic pro...	2261	414	339.86	4.5e-08
GO:0006518	peptide metabolic process	697	155	104.77	4.8e-08
GO:1901360	organic cyclic compound metabolic proces...	2314	422	347.83	5.1e-08
GO:0000377	RNA splicing, via transesterification re...	135	45	20.29	6.2e-08
GO:0000375	RNA splicing, via transesterification re...	136	45	20.44	8.0e-08
GO:0006364	rRNA processing	172	53	25.85	8.4e-08
GO:0000398	mRNA splicing, via spliceosome	126	42	18.94	1.7e-07
GO:0044257	cellular protein catabolic process	307	80	46.15	1.8e-07
GO:0043603	cellular amide metabolic process	802	171	120.55	2.0e-07
GO:0008380	RNA splicing	201	58	30.21	2.6e-07
GO:0043043	peptide biosynthetic process	614	137	92.29	2.7e-07
GO:0006399	tRNA metabolic process	217	61	32.62	3.5e-07
GO:0030163	protein catabolic process	332	84	49.9	3.6e-07
GO:0051276	chromosome organization	421	101	63.28	3.7e-07
GO:0006412	translation	591	132	88.84	4.4e-07
GO:0022618	ribonucleoprotein complex assembly	126	41	18.94	5.0e-07
GO:0071826	ribonucleoprotein complex subunit organi...	131	42	19.69	5.7e-07
GO:0051603	proteolysis involved in cellular protein...	275	72	41.34	6.4e-07
GO:0043604	amide biosynthetic process	662	144	99.51	6.5e-07
GO:0043632	modification-dependent macromolecule cat...	265	69	39.83	1.4e-06
GO:0044248	cellular catabolic process	876	179	131.68	2.0e-06
GO:0009056	catabolic process	1000	200	150.32	2.1e-06
GO:0008033	tRNA processing	142	43	21.34	2.4e-06
GO:0000280	nuclear division	180	51	27.06	2.5e-06
GO:0006974	cellular response to DNA damage stimulus	300	75	45.09	2.6e-06
GO:1901575	organic substance catabolic process	839	172	126.11	2.7e-06
GO:0010629	negative regulation of gene expression	221	59	33.22	3.5e-06
GO:0019538	protein metabolic process	2651	462	398.49	3.9e-06
GO:0006511	ubiquitin-dependent protein catabolic pr...	232	61	34.87	4.1e-06
GO:0006400	tRNA modification	91	31	13.68	4.3e-06
GO:0000027	ribosomal large subunit assembly	23	13	3.46	4.9e-06
GO:0019941	modification-dependent protein catabolic...	236	61	35.47	7.4e-06
GO:0048285	organelle fission	201	54	30.21	7.4e-06
GO:0045787	positive regulation of cell cycle	60	23	9.02	8.1e-06
GO:0033554	cellular response to stress	570	122	85.68	1.2e-05
GO:0016569	covalent chromatin modification	132	39	19.84	1.3e-05
GO:0016570	histone modification	132	39	19.84	1.3e-05
GO:0007059	chromosome segregation	137	40	20.59	1.4e-05
GO:0034622	cellular protein-containing complex asse...	416	94	62.53	1.5e-05
GO:1901565	organonitrogen compound catabolic proces...	496	108	74.56	1.9e-05
GO:0051301	cell division	243	61	36.53	2.0e-05
GO:0051726	regulation of cell cycle	238	60	35.78	2.0e-05
GO:0090068	positive regulation of cell cycle proces...	47	19	7.06	2.0e-05
GO:0140014	mitotic nuclear division	94	30	14.13	2.6e-05
GO:0022402	cell cycle process	324	76	48.7	2.6e-05
GO:0071840	cellular component organization or bioge...	1942	346	291.91	2.7e-05
GO:0051783	regulation of nuclear division	52	20	7.82	3.0e-05
GO:0032259	methylation	252	62	37.88	3.3e-05
GO:0043933	protein-containing complex subunit organ...	559	118	84.03	3.4e-05
GO:0006281	DNA repair	242	60	36.38	3.4e-05
