GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006974	cellular response to DNA damage stimulus	300	162	97.38	2.6e-15
GO:0051276	chromosome organization	421	211	136.66	5.9e-15
GO:0071840	cellular component organization or bioge...	1942	757	630.38	1.7e-13
GO:0006996	organelle organization	1244	512	403.81	3.7e-13
GO:0006281	DNA repair	242	132	78.55	4.2e-13
GO:0007049	cell cycle	488	231	158.41	8.0e-13
GO:0009056	catabolic process	1000	421	324.61	2.0e-12
GO:0016043	cellular component organization	1805	704	585.91	2.1e-12
GO:0022402	cell cycle process	324	164	105.17	2.9e-12
GO:0008152	metabolic process	4693	1634	1523.37	4.3e-12
GO:0010467	gene expression	1970	758	639.47	5.5e-12
GO:0033554	cellular response to stress	570	259	185.03	8.5e-12
GO:1901575	organic substance catabolic process	839	359	272.34	1.1e-11
GO:0006396	RNA processing	590	263	191.52	7.3e-11
GO:0044237	cellular metabolic process	4218	1481	1369.19	9.0e-11
GO:0071704	organic substance metabolic process	4468	1557	1450.34	1.4e-10
GO:0051301	cell division	243	126	78.88	1.5e-10
GO:0000278	mitotic cell cycle	258	132	83.75	1.7e-10
GO:0044248	cellular catabolic process	876	366	284.35	2.8e-10
GO:1903047	mitotic cell cycle process	195	105	63.3	3.2e-10
GO:0016569	covalent chromatin modification	132	76	42.85	1.8e-09
GO:0016570	histone modification	132	76	42.85	1.8e-09
GO:0044085	cellular component biogenesis	1039	420	337.27	2.1e-09
GO:0044238	primary metabolic process	4317	1502	1401.32	3.1e-09
GO:0009057	macromolecule catabolic process	481	215	156.14	3.7e-09
GO:0034660	ncRNA metabolic process	408	187	132.44	4.1e-09
GO:0048856	anatomical structure development	1554	597	504.44	6.4e-09
GO:0044265	cellular macromolecule catabolic process	439	198	142.5	6.9e-09
GO:0046483	heterocycle metabolic process	2237	827	726.14	1.0e-08
GO:0006139	nucleobase-containing compound metabolic...	2175	805	706.02	1.5e-08
GO:0043170	macromolecule metabolic process	3789	1331	1229.93	1.7e-08
GO:0010564	regulation of cell cycle process	151	82	49.02	1.7e-08
GO:0051726	regulation of cell cycle	238	118	77.26	1.8e-08
GO:0034641	cellular nitrogen compound metabolic pro...	2610	949	847.22	1.8e-08
GO:0006325	chromatin organization	258	126	83.75	1.8e-08
GO:1901360	organic cyclic compound metabolic proces...	2314	850	751.14	2.4e-08
GO:0032502	developmental process	1639	622	532.03	2.7e-08
GO:1901565	organonitrogen compound catabolic proces...	496	217	161	2.9e-08
GO:0016070	RNA metabolic process	1523	582	494.37	2.9e-08
GO:0006950	response to stress	1009	402	327.53	4.3e-08
GO:0006475	internal protein amino acid acetylation	33	26	10.71	5.7e-08
GO:0018393	internal peptidyl-lysine acetylation	33	26	10.71	5.7e-08
GO:0090304	nucleic acid metabolic process	1876	700	608.96	6.2e-08
GO:0010629	negative regulation of gene expression	221	109	71.74	9.0e-08
GO:0006725	cellular aromatic compound metabolic pro...	2261	827	733.93	1.2e-07
GO:0007275	multicellular organism development	1385	530	449.58	1.4e-07
GO:0030163	protein catabolic process	332	152	107.77	1.4e-07
GO:0000280	nuclear division	180	91	58.43	2.6e-07
GO:0007059	chromosome segregation	137	73	44.47	2.9e-07
GO:0043412	macromolecule modification	1600	601	519.37	3.3e-07
GO:0006807	nitrogen compound metabolic process	4072	1410	1321.79	4.1e-07
GO:0071103	DNA conformation change	162	83	52.59	4.2e-07
GO:0016071	mRNA metabolic process	311	142	100.95	4.5e-07
GO:0018394	peptidyl-lysine acetylation	37	27	12.01	4.9e-07
GO:0044257	cellular protein catabolic process	307	140	99.65	5.9e-07
GO:0051128	regulation of cellular component organiz...	542	228	175.94	6.0e-07
GO:0045787	positive regulation of cell cycle	60	38	19.48	8.2e-07
GO:0006397	mRNA processing	244	115	79.2	8.3e-07
GO:0022607	cellular component assembly	864	343	280.46	8.5e-07
GO:0048522	positive regulation of cellular process	991	387	321.68	1.1e-06
GO:0140014	mitotic nuclear division	94	53	30.51	1.3e-06
GO:0034470	ncRNA processing	321	144	104.2	1.3e-06
GO:0018205	peptidyl-lysine modification	127	67	41.22	1.4e-06
GO:0048285	organelle fission	201	97	65.25	1.6e-06
GO:0016573	histone acetylation	27	21	8.76	1.7e-06
GO:0032259	methylation	252	117	81.8	1.7e-06
GO:0000003	reproduction	747	299	242.48	2.2e-06
GO:0006473	protein acetylation	44	29	14.28	5.2e-06
GO:0051603	proteolysis involved in cellular protein...	275	124	89.27	5.3e-06
GO:0044267	cellular protein metabolic process	2173	784	705.37	5.4e-06
GO:0033043	regulation of organelle organization	298	132	96.73	8.2e-06
GO:0022613	ribonucleoprotein complex biogenesis	322	141	104.52	8.5e-06
GO:0051321	meiotic cell cycle	142	71	46.09	8.8e-06
GO:0044770	cell cycle phase transition	94	51	30.51	9.1e-06
GO:0043414	macromolecule methylation	118	61	38.3	1.0e-05
GO:0048731	system development	981	377	318.44	1.0e-05
GO:0051984	positive regulation of chromosome segreg...	10	10	3.25	1.3e-05
GO:0019538	protein metabolic process	2651	938	860.53	1.5e-05
GO:0007399	nervous system development	491	202	159.38	1.6e-05
GO:0044260	cellular macromolecule metabolic process	3143	1098	1020.24	1.7e-05
GO:0034622	cellular protein-containing complex asse...	416	174	135.04	2.1e-05
GO:0006464	cellular protein modification process	1498	552	486.26	2.1e-05
GO:0044270	cellular nitrogen compound catabolic pro...	170	81	55.18	2.1e-05
GO:0036211	protein modification process	1501	553	487.23	2.2e-05
GO:0070647	protein modification by small protein co...	271	120	87.97	2.2e-05
GO:0006399	tRNA metabolic process	217	99	70.44	2.7e-05
GO:0071824	protein-DNA complex subunit organization	90	48	29.21	3.0e-05
GO:1901564	organonitrogen compound metabolic proces...	3077	1074	998.81	3.1e-05
GO:0043632	modification-dependent macromolecule cat...	265	117	86.02	3.2e-05
GO:0046700	heterocycle catabolic process	169	80	54.86	3.2e-05
GO:0046466	membrane lipid catabolic process	17	14	5.52	3.2e-05
GO:0048609	multicellular organismal reproductive pr...	416	173	135.04	3.3e-05
GO:0034655	nucleobase-containing compound catabolic...	159	76	51.61	3.3e-05
GO:0016571	histone methylation	47	29	15.26	3.4e-05
GO:0016197	endosomal transport	58	34	18.83	3.4e-05
GO:0006298	mismatch repair	12	11	3.9	3.5e-05
GO:0018022	peptidyl-lysine methylation	45	28	14.61	3.7e-05
GO:0033044	regulation of chromosome organization	65	37	21.1	3.8e-05
GO:0006505	GPI anchor metabolic process	43	27	13.96	4.1e-05
GO:0044772	mitotic cell cycle phase transition	79	43	25.64	4.1e-05
GO:0006508	proteolysis	1049	396	340.51	4.2e-05
GO:0051983	regulation of chromosome segregation	41	26	13.31	4.4e-05
GO:0043933	protein-containing complex subunit organ...	559	224	181.45	4.4e-05
GO:0032504	multicellular organism reproduction	429	177	139.26	4.6e-05
GO:0000910	cytokinesis	77	42	24.99	4.7e-05
GO:0034968	histone lysine methylation	39	25	12.66	4.8e-05
GO:0022414	reproductive process	706	276	229.17	4.8e-05
GO:0002164	larval development	275	120	89.27	4.9e-05
GO:0009991	response to extracellular stimulus	106	54	34.41	5.4e-05
GO:0043603	cellular amide metabolic process	802	309	260.33	6.1e-05
GO:0000070	mitotic sister chromatid segregation	73	40	23.7	6.2e-05
GO:1901987	regulation of cell cycle phase transitio...	73	40	23.7	6.2e-05
GO:0051129	negative regulation of cellular componen...	154	73	49.99	6.7e-05
GO:0006511	ubiquitin-dependent protein catabolic pr...	232	103	75.31	7.3e-05
GO:0048518	positive regulation of biological proces...	1215	451	394.4	7.4e-05
GO:0009451	RNA modification	157	74	50.96	7.6e-05
GO:0022008	neurogenesis	372	155	120.75	7.7e-05
GO:0042254	ribosome biogenesis	251	110	81.48	8.0e-05
GO:1901361	organic cyclic compound catabolic proces...	186	85	60.38	9.1e-05
GO:0006664	glycolipid metabolic process	67	37	21.75	9.3e-05
GO:0010498	proteasomal protein catabolic process	181	83	58.75	9.5e-05
GO:0018023	peptidyl-lysine trimethylation	11	10	3.57	9.9e-05
GO:0009892	negative regulation of metabolic process	582	230	188.92	1.0e-04
GO:0022616	DNA strand elongation	18	14	5.84	0.00010
GO:0006259	DNA metabolic process	535	213	173.66	0.00011
GO:0002119	nematode larval development	258	112	83.75	0.00011
GO:0090068	positive regulation of cell cycle proces...	47	28	15.26	0.00011
GO:0051704	multi-organism process	402	165	130.49	0.00012
GO:1903046	meiotic cell cycle process	111	55	36.03	0.00012
GO:0032465	regulation of cytokinesis	30	20	9.74	0.00012
GO:0033036	macromolecule localization	970	365	314.87	0.00012
GO:0009262	deoxyribonucleotide metabolic process	22	16	7.14	0.00013
GO:2001252	positive regulation of chromosome organi...	24	17	7.79	0.00013
GO:1901657	glycosyl compound metabolic process	82	43	26.62	0.00013
GO:0019439	aromatic compound catabolic process	185	84	60.05	0.00013
GO:0048519	negative regulation of biological proces...	1006	377	326.55	0.00014
GO:1903509	liposaccharide metabolic process	68	37	22.07	0.00014
GO:0006506	GPI anchor biosynthetic process	41	25	13.31	0.00016
GO:0098813	nuclear chromosome segregation	102	51	33.11	0.00016
GO:0019941	modification-dependent protein catabolic...	236	103	76.61	0.00016
GO:0009791	post-embryonic development	366	151	118.81	0.00017
GO:0006518	peptide metabolic process	697	269	226.25	0.00017
GO:0032508	DNA duplex unwinding	71	38	23.05	0.00018
GO:0065004	protein-DNA complex assembly	71	38	23.05	0.00018
GO:0048468	cell development	590	231	191.52	0.00019
GO:0046488	phosphatidylinositol metabolic process	120	58	38.95	0.00019
GO:0010608	posttranscriptional regulation of gene e...	179	81	58.1	0.00020
GO:0044839	cell cycle G2/M phase transition	35	22	11.36	0.00021
GO:0007276	gamete generation	256	110	83.1	0.00021
GO:0030149	sphingolipid catabolic process	15	12	4.87	0.00021
GO:0031123	RNA 3'-end processing	46	27	14.93	0.00021
GO:0009896	positive regulation of catabolic process	123	59	39.93	0.00022
GO:0006364	rRNA processing	172	78	55.83	0.00024
GO:0009790	embryo development	527	208	171.07	0.00024
GO:0000086	G2/M transition of mitotic cell cycle	31	20	10.06	0.00024
GO:0009394	2'-deoxyribonucleotide metabolic process	17	13	5.52	0.00025
GO:0006401	RNA catabolic process	111	54	36.03	0.00026
GO:0000724	double-strand break repair via homologou...	29	19	9.41	0.00026
GO:0032392	DNA geometric change	72	38	23.37	0.00027
GO:0007010	cytoskeleton organization	419	169	136.01	0.00027
GO:0008104	protein localization	802	304	260.33	0.00028
GO:0006289	nucleotide-excision repair	25	17	8.12	0.00028
GO:0031331	positive regulation of cellular cataboli...	114	55	37.01	0.00029
GO:0006796	phosphate-containing compound metabolic ...	1503	543	487.88	0.00031
GO:0031329	regulation of cellular catabolic process	181	81	58.75	0.00031
GO:0046474	glycerophospholipid biosynthetic process	70	37	22.72	0.00031
GO:0016458	gene silencing	87	44	28.24	0.00032
GO:1901990	regulation of mitotic cell cycle phase t...	63	34	20.45	0.00032
GO:0012501	programmed cell death	299	125	97.06	0.00032
GO:0050896	response to stimulus	2215	780	719	0.00034
GO:0016072	rRNA metabolic process	200	88	64.92	0.00035
GO:0009116	nucleoside metabolic process	68	36	22.07	0.00036
GO:0006793	phosphorus metabolic process	1517	547	492.43	0.00036
GO:0065003	protein-containing complex assembly	505	199	163.93	0.00036
GO:0006302	double-strand break repair	54	30	17.53	0.00037
GO:0032270	positive regulation of cellular protein ...	219	95	71.09	0.00038
GO:0006271	DNA strand elongation involved in DNA re...	7	7	2.27	0.00038
GO:0072698	protein localization to microtubule cyto...	7	7	2.27	0.00038
GO:1905508	protein localization to microtubule orga...	7	7	2.27	0.00038
GO:0009653	anatomical structure morphogenesis	828	312	268.77	0.00038
