GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0003824	catalytic activity	4218	1498	1342.62	4.5e-17
GO:0043168	anion binding	1828	710	581.87	6.4e-14
GO:0000166	nucleotide binding	1812	703	576.77	1.3e-13
GO:1901265	nucleoside phosphate binding	1812	703	576.77	1.3e-13
GO:0036094	small molecule binding	1961	751	624.2	3.4e-13
GO:0032559	adenyl ribonucleotide binding	1378	549	438.63	1.2e-12
GO:0005488	binding	4956	1697	1577.53	1.5e-12
GO:0030554	adenyl nucleotide binding	1386	551	441.17	1.7e-12
GO:0005524	ATP binding	1350	537	429.72	3.3e-12
GO:0005515	protein binding	1789	686	569.45	5.8e-12
GO:1901363	heterocyclic compound binding	3345	1193	1064.74	1.7e-11
GO:0032553	ribonucleotide binding	1652	636	525.84	2.4e-11
GO:0097159	organic cyclic compound binding	3349	1193	1066.01	2.6e-11
GO:0043167	ion binding	3378	1201	1075.24	4.0e-11
GO:0035639	purine ribonucleoside triphosphate bindi...	1618	623	515.02	4.2e-11
GO:0017076	purine nucleotide binding	1646	632	523.93	5.2e-11
GO:0032555	purine ribonucleotide binding	1640	629	522.02	7.6e-11
GO:0016787	hydrolase activity	2271	840	722.88	8.5e-11
GO:0097367	carbohydrate derivative binding	1755	667	558.63	1.1e-10
GO:0016817	hydrolase activity, acting on acid anhyd...	739	301	235.23	4.1e-08
GO:0016818	hydrolase activity, acting on acid anhyd...	739	301	235.23	4.1e-08
GO:0003723	RNA binding	805	324	256.24	5.0e-08
GO:0016462	pyrophosphatase activity	738	300	234.91	5.5e-08
GO:0017111	nucleoside-triphosphatase activity	717	288	228.23	3.9e-07
GO:0140098	catalytic activity, acting on RNA	389	169	123.82	5.0e-07
GO:0016887	ATPase activity	441	187	140.37	9.1e-07
GO:0016874	ligase activity	253	116	80.53	1.4e-06
GO:0051020	GTPase binding	63	38	20.05	2.7e-06
GO:0050660	flavin adenine dinucleotide binding	82	46	26.1	4.3e-06
GO:0016741	transferase activity, transferring one-c...	249	112	79.26	6.7e-06
GO:0031267	small GTPase binding	58	35	18.46	6.7e-06
GO:0008168	methyltransferase activity	244	110	77.67	7.1e-06
GO:0003676	nucleic acid binding	2061	733	656.03	8.5e-06
GO:0034212	peptide N-acetyltransferase activity	18	15	5.73	9.6e-06
GO:0061733	peptide-lysine-N-acetyltransferase activ...	15	13	4.77	1.8e-05
GO:0140096	catalytic activity, acting on a protein	1698	610	540.49	1.9e-05
GO:0004402	histone acetyltransferase activity	12	11	3.82	2.8e-05
GO:0016740	transferase activity	2064	726	656.99	5.8e-05
GO:0008757	S-adenosylmethionine-dependent methyltra...	91	47	28.97	6.2e-05
GO:0051536	iron-sulfur cluster binding	87	45	27.69	8.4e-05
GO:0051540	metal cluster binding	87	45	27.69	8.4e-05
GO:0008092	cytoskeletal protein binding	327	136	104.09	8.9e-05
GO:0004386	helicase activity	190	85	60.48	0.00011
GO:0003682	chromatin binding	76	40	24.19	0.00013
GO:0000339	RNA cap binding	13	11	4.14	0.00013
GO:0008234	cysteine-type peptidase activity	69	37	21.96	0.00013
GO:0008170	N-methyltransferase activity	55	31	17.51	0.00014
GO:0016491	oxidoreductase activity	779	293	247.96	0.00016
GO:0045182	translation regulator activity	184	82	58.57	0.00017
GO:0016651	oxidoreductase activity, acting on NAD(P...	59	32	18.78	0.00029
GO:0140097	catalytic activity, acting on DNA	200	87	63.66	0.00029
GO:0090079	translation regulator activity, nucleic ...	171	76	54.43	0.00031
GO:0004767	sphingomyelin phosphodiesterase activity	7	7	2.23	0.00033
GO:0008236	serine-type peptidase activity	145	66	46.15	0.00034
GO:0018024	histone-lysine N-methyltransferase activ...	28	18	8.91	0.00041
GO:0017171	serine hydrolase activity	159	71	50.61	0.00041
GO:0003954	NADH dehydrogenase activity	14	11	4.46	0.00044
GO:0043169	cation binding	2281	787	726.06	0.00046
GO:0004197	cysteine-type endopeptidase activity	24	16	7.64	0.00047
GO:0003678	DNA helicase activity	58	31	18.46	0.00050
GO:0016877	ligase activity, forming carbon-sulfur b...	35	21	11.14	0.00053
GO:0016278	lysine N-methyltransferase activity	33	20	10.5	0.00060
GO:0016279	protein-lysine N-methyltransferase activ...	33	20	10.5	0.00060
GO:0008233	peptidase activity	655	246	208.49	0.00063
GO:0046872	metal ion binding	2271	782	722.88	0.00064
GO:0003684	damaged DNA binding	27	17	8.59	0.00084
GO:0019899	enzyme binding	373	147	118.73	0.00088
GO:0016653	oxidoreductase activity, acting on NAD(P...	11	9	3.5	0.00093
GO:0070003	threonine-type peptidase activity	21	14	6.68	0.00108
GO:0070008	serine-type exopeptidase activity	13	10	4.14	0.00109
GO:0003779	actin binding	180	77	57.3	0.00115
GO:0044877	protein-containing complex binding	310	124	98.68	0.00115
GO:0004180	carboxypeptidase activity	53	28	16.87	0.00117
GO:0032182	ubiquitin-like protein binding	35	20	11.14	0.00169
GO:0008135	translation factor activity, RNA binding	166	71	52.84	0.00176
GO:0016853	isomerase activity	203	84	64.62	0.00229
GO:0070122	isopeptidase activity	20	13	6.37	0.00231
GO:0008080	N-acetyltransferase activity	50	26	15.92	0.00234
GO:0004185	serine-type carboxypeptidase activity	12	9	3.82	0.00267
GO:0008649	rRNA methyltransferase activity	12	9	3.82	0.00267
GO:0017056	structural constituent of nuclear pore	12	9	3.82	0.00267
GO:0008242	omega peptidase activity	46	24	14.64	0.00322
GO:0140101	catalytic activity, acting on a tRNA	134	58	42.65	0.00324
GO:0003677	DNA binding	889	319	282.98	0.00325
GO:0004128	cytochrome-b5 reductase activity, acting...	5	5	1.59	0.00326
GO:0016725	oxidoreductase activity, acting on CH or...	5	5	1.59	0.00326
GO:0003729	mRNA binding	71	34	22.6	0.00330
GO:0009055	electron transfer activity	51	26	16.23	0.00335
GO:0042054	histone methyltransferase activity	32	18	10.19	0.00361
GO:0016627	oxidoreductase activity, acting on the C...	77	36	24.51	0.00420
GO:0004812	aminoacyl-tRNA ligase activity	72	34	22.92	0.00437
GO:0016875	ligase activity, forming carbon-oxygen b...	72	34	22.92	0.00437
GO:0106310	protein serine kinase activity	93	42	29.6	0.00460
GO:0106311	protein threonine kinase activity	93	42	29.6	0.00460
GO:0016407	acetyltransferase activity	57	28	18.14	0.00470
GO:0003774	motor activity	88	40	28.01	0.00488
GO:0008238	exopeptidase activity	96	43	30.56	0.00501
GO:0030151	molybdenum ion binding	7	6	2.23	0.00527
GO:0102148	N-acetyl-beta-D-galactosaminidase activi...	7	6	2.23	0.00527
GO:0051117	ATPase binding	17	11	5.41	0.00536
GO:0030145	manganese ion binding	26	15	8.28	0.00563
GO:0003724	RNA helicase activity	73	34	23.24	0.00573
GO:0004298	threonine-type endopeptidase activity	15	10	4.77	0.00585
GO:0043621	protein self-association	9	7	2.86	0.00619
GO:0003916	DNA topoisomerase activity	13	9	4.14	0.00624
GO:0036402	proteasome-activating ATPase activity	13	9	4.14	0.00624
GO:0016655	oxidoreductase activity, acting on NAD(P...	11	8	3.5	0.00641
GO:0061659	ubiquitin-like protein ligase activity	53	26	16.87	0.00648
GO:0051539	4 iron, 4 sulfur cluster binding	48	24	15.28	0.00649
GO:0071949	FAD binding	24	14	7.64	0.00651
GO:0140102	catalytic activity, acting on a rRNA	24	14	7.64	0.00651
GO:0008173	RNA methyltransferase activity	36	19	11.46	0.00717
GO:0008022	protein C-terminus binding	22	13	7	0.00750
GO:0003887	DNA-directed DNA polymerase activity	20	12	6.37	0.00861
GO:0004843	thiol-dependent ubiquitin-specific prote...	39	20	12.41	0.00883
GO:0016830	carbon-carbon lyase activity	49	24	15.6	0.00895
GO:0003712	transcription coregulator activity	96	42	30.56	0.00901
GO:0043130	ubiquitin binding	32	17	10.19	0.00991
