"sf1" "sf2" "sf3" "sp1" "sp2" "sp3"
"TRINITY_DN3592_c0_g1_i1" 12 6 12 4 0 0
"TRINITY_DN3583_c0_g1_i2" 106 184 80 32 34 20
"TRINITY_DN3581_c0_g1_i1" 4 6 8 2 0 0
"TRINITY_DN3514_c0_g2_i1" 30 6 42 10 4 4
"TRINITY_DN3586_c0_g1_i1" 20 66 18 2 6 2
"TRINITY_DN3585_c0_g1_i1" 0 0 0 2 0 2
"TRINITY_DN3585_c0_g2_i1" 0 0 0 2 10 8
"TRINITY_DN3585_c0_g9_i1" 0 0 0 14 18 16
"TRINITY_DN3506_c0_g1_i1" 4 26 10 2 0 0
"TRINITY_DN3531_c0_g1_i1" 28 50 22 62 16 30
"TRINITY_DN3542_c0_g2_i1" 2 4 6 0 2 4
"TRINITY_DN3501_c0_g1_i1" 74 62 16 30 10 14
"TRINITY_DN3549_c0_g1_i1" 8 2 10 36 20 18
"TRINITY_DN3539_c0_g1_i1" 20 62 6 14 6 6
"TRINITY_DN3535_c0_g1_i1" 20 6 10 2 0 2
"TRINITY_DN3511_c1_g1_i2" 834 1208 646 630 456 438
"TRINITY_DN3521_c0_g1_i1" 12 18 10 14 10 10
"TRINITY_DN3590_c0_g1_i1" 2 12 12 16 4 10
"TRINITY_DN3597_c0_g1_i1" 1136 1470 866 1062 1252 1310
"TRINITY_DN3519_c0_g1_i1" 30 38 60 28 4 16
"TRINITY_DN3519_c0_g1_i2" 8 20 0 6 2 0
"TRINITY_DN3510_c0_g1_i1" 2810 4858 3288 1536 766 752
"TRINITY_DN3507_c0_g1_i1" 2 0 2 2 0 0
"TRINITY_DN3507_c0_g2_i1" 2 4 2 0 0 0
"TRINITY_DN3507_c0_g2_i2" 4 8 0 0 0 0
"TRINITY_DN3518_c0_g1_i1" 126 90 46 24 12 6
"TRINITY_DN3568_c0_g1_i1" 10 2 38 6 12 12
"TRINITY_DN3558_c0_g1_i1" 4 0 0 40 44 54
"TRINITY_DN3509_c0_g1_i1" 66 130 126 2 0 2
"TRINITY_DN3527_c0_g1_i1" 34 30 62 30 12 8
"TRINITY_DN3599_c0_g1_i1" 22 36 20 8 4 0
"TRINITY_DN3593_c0_g1_i1" 50 34 64 26 16 6
"TRINITY_DN3587_c0_g1_i2" 30 64 42 36 8 10
"TRINITY_DN3538_c0_g1_i1" 46 136 58 36 12 14
"TRINITY_DN3547_c0_g1_i1" 22 6 46 6 0 2
"TRINITY_DN3569_c0_g1_i1" 64 88 70 74 34 22
"TRINITY_DN3516_c0_g1_i2" 8 2 10 4 0 0
"TRINITY_DN3570_c0_g1_i1" 24 0 12 54 18 12
"TRINITY_DN3548_c0_g1_i1" 6 4 28 8 2 8
"TRINITY_DN3545_c0_g1_i1" 22 12 24 4 2 0
"TRINITY_DN3561_c0_g1_i1" 48 88 56 52 16 22
"TRINITY_DN3517_c0_g1_i2" 4 0 0 0 0 0
"TRINITY_DN3517_c0_g4_i1" 0 0 0 0 0 0
"TRINITY_DN3536_c0_g1_i1" 34 42 112 12 6 6
"TRINITY_DN3505_c2_g1_i2" 2766 3820 2870 2040 1318 1486
"TRINITY_DN3573_c0_g1_i1" 10 20 16 14 10 6
"TRINITY_DN3573_c0_g2_i1" 8 0 4 2 0 0
"TRINITY_DN3508_c0_g2_i1" 10 10 8 0 2 0
"TRINITY_DN3576_c0_g1_i1" 12 4 6 4 4 4
"TRINITY_DN3576_c0_g2_i1" 4 6 8 0 0 2
"TRINITY_DN3595_c0_g1_i1" 30 14 34 2 14 6
"TRINITY_DN3526_c0_g1_i1" 2 24 8 2 4 2
"TRINITY_DN3565_c0_g1_i1" 12 8 12 2 0 0
"TRINITY_DN3565_c0_g1_i4" 8 0 8 4 0 2
"TRINITY_DN3589_c0_g1_i1" 7162 6000 12380 3628 2634 2678
"TRINITY_DN3528_c0_g1_i1" 18 80 10 12 16 8
"TRINITY_DN3557_c0_g1_i1" 8 12 0 2 6 0
"TRINITY_DN3567_c0_g1_i1" 4 60 0 0 0 0
"TRINITY_DN3575_c0_g1_i1" 40 68 18 8 0 2
"TRINITY_DN3575_c1_g1_i1" 4 6 4 4 0 0
"TRINITY_DN3502_c0_g1_i1" 76 74 0 38 18 24
"TRINITY_DN3555_c0_g3_i1" 0 50 8 0 0 0
"TRINITY_DN3540_c0_g1_i1" 10 6 10 4 2 2
"TRINITY_DN3504_c0_g2_i1" 14 28 30 6 0 0
"TRINITY_DN3523_c0_g1_i1" 32 12 10 10 6 6
"TRINITY_DN3598_c0_g1_i1" 0 12 2 0 0 0
"TRINITY_DN3598_c1_g1_i1" 8 16 8 8 4 0
"TRINITY_DN3563_c0_g1_i1" 14 14 8 0 0 2
"TRINITY_DN3563_c0_g1_i2" 8 14 8 2 4 0
"TRINITY_DN3564_c0_g1_i1" 2 2 0 0 2 0
"TRINITY_DN3564_c0_g2_i1" 172 292 66 102 58 64
"TRINITY_DN3584_c0_g1_i1" 6 10 2 14 4 2
"TRINITY_DN3571_c0_g1_i1" 14 24 66 2 0 0
"TRINITY_DN3596_c0_g1_i1" 8 40 2 4 2 2
"TRINITY_DN3572_c0_g1_i1" 608 938 564 326 218 204
"TRINITY_DN3512_c0_g1_i1" 8 28 18 10 6 4
"TRINITY_DN3560_c0_g1_i1" 0 2 6 16 0 2
"TRINITY_DN3560_c0_g1_i2" 0 0 2 0 0 0
"TRINITY_DN3582_c0_g1_i1" 4 30 0 0 4 0
"TRINITY_DN3520_c0_g2_i1" 2 6 8 6 4 0
"TRINITY_DN3579_c0_g1_i1" 46 38 42 16 6 14
"TRINITY_DN3529_c0_g1_i1" 22 14 4 10 4 2
"TRINITY_DN3537_c0_g1_i1" 0 2 0 4 6 0
"TRINITY_DN3537_c0_g1_i2" 2 2 6 0 0 0
"TRINITY_DN3525_c0_g1_i1" 0 2 0 0 2 0
"TRINITY_DN3543_c0_g1_i1" 8 26 20 12 10 6
"TRINITY_DN3543_c1_g1_i1" 4 4 10 2 0 0
"TRINITY_DN3594_c0_g1_i1" 1016 1374 562 190 96 116
"TRINITY_DN3533_c0_g1_i1" 10 40 22 16 2 8
"TRINITY_DN3578_c0_g1_i1" 22 28 74 20 6 8
"TRINITY_DN3578_c0_g2_i1" 28 50 74 2 0 2
"TRINITY_DN3578_c1_g1_i1" 0 4 0 0 0 0
"TRINITY_DN3577_c0_g1_i1" 2 8 14 0 0 0
"TRINITY_DN3566_c0_g1_i1" 2 8 22 2 0 4
"TRINITY_DN3588_c0_g1_i2" 0 4 32 0 2 4
"TRINITY_DN3588_c0_g1_i4" 20 8 24 4 4 2
"TRINITY_DN3588_c0_g2_i1" 0 0 2 2 0 0
"TRINITY_DN3513_c0_g1_i3" 8 4 0 0 4 0
"TRINITY_DN3513_c0_g1_i4" 56 40 40 40 18 32
"TRINITY_DN3532_c0_g1_i1" 10 26 40 40 26 10
"TRINITY_DN3544_c0_g1_i1" 0 0 4 0 0 0
